kingdom	phylum	ERZ484725	ERZ484726	ERZ484728	ERZ484729	ERZ484732	ERZ484733	ERZ484736	ERZ650672	OFLK01	OFLL01	OFLM01	OFLN01	OFLO01	OFLP01	OFLQ01	OFLR01	OFLS01	OFLT01	OFLU01	OFLV01	OFLW01	OFRN01
Bacteria	Actinobacteria	5	3	0	0	2	4	1	0	0	5	3	0	5	4	0	2	2	0	5	4	1	4
Bacteria	Bacteroidetes	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	3	4	4	2	6	10	10	13	4	3	4	2	5	2	8	6	6	4	10	10	10	4
Bacteria	Proteobacteria	2	0	2	1	3	4	2	2	2	2	0	1	0	2	2	2	3	2	2	4	2	3
Bacteria	Unassigned	0	4	1	0	3	3	1	5	1	0	4	0	6	0	2	3	3	1	0	3	1	0
Eukaryota	Arthropoda	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
