kingdom	phylum	OIEJ01	OIEK01	OIEO01	OIEP01	OIEQ01	OIER01	OIES01	OIET01	OIEU01	OIEV01	OKVD01	OKVG01	OKVI01	OKVJ01	OKVL01	OKVM01	OKVN01	OKVO01	OKVQ01	OKVR01	OKVS01	OKVT01	OKVU01	OKVV01	OKVW01	OKVX01	OKVY01	OKVZ01	OKWA01
Bacteria	Acidobacteria	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Bacteria	Actinobacteria	4	0	0	2	3	13	6	10	6	12	13	14	10	0	3	1	6	0	2	5	0	7	0	5	7	0	0	1	3
Bacteria	Bacteroidetes	1	0	1	2	1	7	1	10	5	24	0	7	2	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	3
Bacteria	Firmicutes	8	7	3	7	6	8	14	13	20	16	15	33	20	16	7	7	11	1	5	11	4	5	11	9	17	6	7	5	12
Bacteria	Proteobacteria	4	8	11	4	6	8	6	5	9	5	4	8	6	5	3	3	7	4	2	6	6	3	7	3	5	2	3	7	4
Bacteria	Unassigned	2	2	3	2	1	4	2	2	5	4	3	3	1	2	3	2	0	1	2	2	0	3	1	2	2	1	2	3	3
Eukaryota	Ascomycota	0	0	0	0	0	2	0	0	1	0	2	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Mitochondria	Unassigned	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
